round,steps,coins_collected,epsilon
1,400,21,1.0
2,400,26,1.0
3,400,21,1.0
4,400,11,1.0
5,400,26,1.0
6,400,22,1.0
7,400,36,1.0
8,400,19,1.0
9,400,18,1.0
10,400,13,1.0
11,400,24,1.0
12,400,18,1.0
13,400,24,1.0
14,400,26,1.0
15,400,27,1.0
16,400,31,1.0
17,400,19,1.0
18,400,29,1.0
19,400,28,1.0
20,400,17,1.0
21,400,22,1.0
22,400,28,1.0
23,400,19,1.0
24,400,15,1.0
25,400,24,1.0
26,400,24,1.0
27,400,21,1.0
28,400,19,1.0
29,400,12,1.0
30,400,21,1.0
31,400,22,1.0
32,400,23,1.0
33,400,21,1.0
34,400,33,1.0
35,400,23,1.0
36,400,10,1.0
37,400,27,1.0
38,400,20,1.0
39,400,30,1.0
40,400,19,1.0
41,400,15,1.0
42,400,12,1.0
43,400,12,1.0
44,400,19,1.0
45,400,22,1.0
46,400,23,1.0
47,400,22,1.0
48,400,10,1.0
49,400,21,1.0
50,400,27,1.0
51,400,21,1.0
52,400,25,1.0
53,400,16,1.0
54,400,20,1.0
55,400,23,1.0
56,400,29,1.0
57,400,16,1.0
58,400,15,1.0
59,400,35,1.0
60,400,24,1.0
61,400,24,1.0
62,400,23,1.0
63,400,26,1.0
64,400,21,1.0
65,400,18,1.0
66,400,20,1.0
67,400,18,1.0
68,400,27,1.0
69,400,26,1.0
70,400,19,1.0
71,400,20,1.0
72,400,22,1.0
73,400,28,1.0
74,400,22,1.0
75,400,13,1.0
76,400,17,1.0
77,400,22,1.0
78,400,24,1.0
79,400,10,1.0
80,400,29,1.0
81,400,10,1.0
82,400,11,1.0
83,400,21,1.0
84,400,16,1.0
85,400,17,1.0
86,400,21,1.0
87,400,15,1.0
88,400,26,1.0
89,400,24,1.0
90,400,14,1.0
91,400,21,1.0
92,400,21,1.0
93,400,23,1.0
94,400,19,1.0
95,400,18,1.0
96,400,17,1.0
97,400,30,1.0
98,400,16,1.0
99,400,28,1.0
100,400,28,1.0
101,400,22,0.999
102,400,31,0.998
103,400,17,0.997
104,400,29,0.996
105,400,23,0.995
106,400,24,0.994
107,400,18,0.993
108,400,24,0.992
109,400,24,0.991
110,400,20,0.99
111,400,21,0.9891
112,400,25,0.9881
113,400,25,0.9871
114,400,23,0.9861
115,400,14,0.9851
116,400,23,0.9841
117,400,28,0.9831
118,400,20,0.9822
119,400,25,0.9812
120,400,23,0.9802
121,400,22,0.9792
122,400,24,0.9782
123,400,21,0.9773
124,400,25,0.9763
125,400,26,0.9753
126,400,8,0.9743
127,400,27,0.9733
128,400,21,0.9724
129,400,29,0.9714
130,400,19,0.9704
131,400,22,0.9695
132,400,14,0.9685
133,400,25,0.9675
134,400,17,0.9666
135,400,15,0.9656
136,400,23,0.9646
137,400,23,0.9637
138,400,23,0.9627
139,400,26,0.9617
140,400,26,0.9608
141,400,24,0.9598
142,400,32,0.9588
143,400,21,0.9579
144,400,25,0.9569
145,400,6,0.956
146,400,15,0.955
147,400,23,0.9541
148,400,30,0.9531
149,400,14,0.9522
150,400,25,0.9512
151,400,16,0.9503
152,400,19,0.9493
153,400,26,0.9484
154,400,25,0.9474
155,400,14,0.9465
156,400,32,0.9455
157,400,25,0.9446
158,400,20,0.9436
159,400,23,0.9427
160,400,25,0.9417
