round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,21,0,2,2,1,0,-82.5,1.0
2,5,0,1,1,1,0,-79.5,1.0
3,5,0,1,1,1,0,-80.5,1.0
4,5,0,1,1,1,0,-82.0,1.0
5,5,0,1,1,1,0,-80.5,1.0
6,5,0,1,1,1,0,-76.5,1.0
7,15,0,2,2,1,0,-71.0,1.0
8,21,0,2,1,1,0,-75.0,1.0
9,8,0,1,1,1,0,-87.0,1.0
10,7,0,1,1,1,0,-87.0,1.0
11,22,0,2,2,1,0,-79.5,1.0
12,14,0,1,1,1,0,-60.0,1.0
13,6,0,1,1,1,0,-54.5,1.0
14,32,0,3,3,1,0,-113.5,1.0
15,5,0,1,1,1,0,-82.0,1.0
16,5,0,1,1,1,0,-80.5,1.0
17,13,0,2,2,1,0,-56.5,1.0
18,5,0,1,1,1,0,-79.0,1.0
19,15,0,2,2,1,0,-75.0,1.0
20,5,0,1,1,1,0,-82.0,1.0
21,5,0,1,1,1,0,-80.5,1.0
22,5,0,1,1,1,0,-79.0,1.0
23,8,0,1,1,1,0,-45.5,1.0
24,32,0,2,2,1,0,-124.5,1.0
25,8,0,1,1,1,0,-54.0,1.0
26,7,0,1,1,1,0,-58.5,1.0
27,5,0,1,1,1,0,-82.0,1.0
28,11,0,1,1,1,0,-100.5,1.0
29,13,0,1,1,1,0,-53.0,1.0
30,5,0,1,1,1,0,-79.0,1.0
31,5,0,1,1,1,0,-74.5,1.0
32,8,0,1,1,1,0,-56.0,1.0
33,6,0,1,1,1,0,-37.5,1.0
34,15,0,2,2,1,0,-87.5,1.0
35,7,0,1,1,1,0,-51.5,1.0
36,8,0,1,1,1,0,-49.5,1.0
37,30,1,4,3,1,0,-134.5,1.0
38,5,0,1,1,1,0,-79.0,1.0
39,8,0,1,1,1,0,-64.0,1.0
40,5,0,1,1,1,0,-79.0,1.0
41,5,0,1,1,1,0,-82.5,1.0
42,11,0,1,1,1,0,-61.0,1.0
43,21,0,2,2,1,0,-79.0,1.0
44,5,0,1,1,1,0,-82.0,1.0
45,9,0,1,1,1,0,-64.0,1.0
46,5,0,1,1,1,0,-80.5,1.0
47,8,0,1,1,1,0,-58.0,1.0
48,8,0,1,1,1,0,-39.5,1.0
49,6,0,1,1,1,0,-29.0,1.0
50,11,0,1,1,1,0,-66.0,1.0
51,7,0,1,1,1,0,-56.5,1.0
52,5,0,1,1,1,0,-80.5,1.0
53,8,0,1,1,1,0,-51.5,1.0
54,5,0,1,1,1,0,-80.5,1.0
55,8,0,1,1,1,0,-88.5,1.0
56,5,0,1,1,1,0,-80.5,1.0
57,7,0,1,1,1,0,-41.0,1.0
58,15,0,2,2,1,0,-88.5,1.0
59,8,0,1,1,1,0,-45.0,1.0
60,5,0,1,1,1,0,-76.0,1.0
61,13,0,1,1,1,0,-64.0,1.0
62,5,0,1,1,1,0,-82.0,1.0
63,9,0,1,1,1,0,-41.5,1.0
64,5,0,1,1,1,0,-79.0,1.0
65,8,0,1,1,1,0,-87.0,1.0
66,20,0,2,2,1,0,-101.5,1.0
67,6,0,1,1,1,0,-84.0,1.0
68,7,0,1,1,1,0,-41.0,1.0
69,5,0,1,1,1,0,-80.5,1.0
70,21,0,1,1,1,0,-102.0,1.0
71,8,0,1,1,1,0,-51.5,1.0
72,23,0,2,1,1,0,-130.0,1.0
73,11,0,1,1,1,0,-97.0,1.0
74,6,0,1,1,1,0,-54.5,1.0
75,6,0,1,1,1,0,-54.5,1.0
76,5,0,1,1,1,0,-79.0,1.0
77,6,0,1,1,1,0,-84.5,1.0
78,7,0,1,1,1,0,-82.5,1.0
79,5,0,1,1,1,0,-79.0,1.0
80,20,0,2,2,1,0,-87.0,1.0
81,5,0,1,1,1,0,-80.5,1.0
82,7,0,1,1,1,0,-39.5,1.0
83,9,0,1,1,1,0,-36.5,1.0
84,5,0,1,1,1,0,-55.5,1.0
85,8,0,1,1,1,0,-62.5,1.0
86,12,0,1,1,1,0,-61.5,1.0
87,10,0,1,1,1,0,-46.0,1.0
88,6,0,1,1,1,0,-54.5,1.0
89,10,0,1,1,1,0,-94.5,1.0
90,18,0,1,1,1,0,-108.5,1.0
91,5,0,1,1,1,0,-80.5,1.0
92,7,0,1,1,1,0,-87.0,1.0
93,26,0,2,2,1,0,-95.0,1.0
94,7,0,1,1,1,0,-81.0,1.0
95,9,0,1,1,1,0,-62.0,1.0
96,6,0,1,1,1,0,-80.5,1.0
97,22,0,2,1,1,0,-102.5,1.0
98,9,0,1,1,1,0,-64.0,1.0
99,7,0,1,1,1,0,-84.5,1.0
100,12,0,1,1,1,0,-63.5,1.0
101,5,0,1,1,1,0,-86.0,0.999
102,9,0,1,1,1,0,-58.0,0.998
103,25,0,3,2,1,0,-120.0,0.997
104,6,0,1,1,1,0,-56.5,0.996
105,8,0,1,1,1,0,-41.0,0.995
106,8,0,1,1,1,0,-51.5,0.994
107,20,0,3,3,1,0,-99.5,0.993
108,6,0,1,1,1,0,-84.5,0.992
109,9,0,1,1,1,0,-89.0,0.991
110,5,0,1,1,1,0,-83.5,0.99
111,12,0,1,1,1,0,-99.0,0.9891
112,8,0,1,1,1,0,-29.5,0.9881
113,10,0,1,1,1,0,-66.5,0.9871
114,7,0,1,1,1,0,-49.0,0.9861
115,5,0,1,1,1,0,-80.5,0.9851
116,19,0,2,2,1,0,-85.0,0.9841
117,5,0,1,1,1,0,-79.0,0.9831
118,6,0,1,0,1,0,-66.0,0.9822
119,13,0,1,1,1,0,-57.0,0.9812
120,9,0,1,1,1,0,-89.0,0.9802
121,21,0,2,1,1,0,-126.5,0.9792
122,6,0,1,0,1,0,-64.0,0.9782
123,6,0,1,1,1,0,-53.5,0.9773
124,8,0,1,1,1,0,-88.5,0.9763
125,7,0,1,1,1,0,-58.5,0.9753
126,6,0,1,1,1,0,-37.5,0.9743
127,10,0,1,1,1,0,-39.5,0.9733
128,12,0,1,1,1,0,-93.0,0.9724
129,10,0,1,1,1,0,-47.5,0.9714
130,10,0,1,1,1,0,-47.5,0.9704
131,7,0,1,1,1,0,-49.0,0.9695
132,8,0,1,1,1,0,-90.0,0.9685
133,6,0,1,1,1,0,-83.0,0.9675
134,16,0,2,2,1,0,-91.0,0.9666
135,8,0,1,1,1,0,-51.5,0.9656
136,5,0,1,1,1,0,-82.0,0.9646
137,5,0,1,1,1,0,-79.0,0.9637
138,8,0,1,1,1,0,-88.5,0.9627
139,8,0,1,1,1,0,-45.5,0.9617
140,9,0,1,1,1,0,-88.0,0.9608
141,5,0,1,1,1,0,-50.5,0.9598
142,37,1,3,3,1,0,-116.0,0.9588
143,8,0,1,1,1,0,-88.5,0.9579
144,13,0,1,1,1,0,-69.5,0.9569
145,6,0,1,1,1,0,-56.0,0.956
146,6,0,1,1,1,0,-58.0,0.955
147,16,0,2,2,1,0,-86.0,0.9541
148,9,0,1,1,1,0,-40.5,0.9531
149,23,0,2,2,1,0,-98.0,0.9522
150,10,0,1,1,1,0,-93.0,0.9512
151,7,0,1,1,1,0,-61.5,0.9503
152,22,0,1,1,1,0,-92.5,0.9493
153,5,0,1,1,1,0,-78.0,0.9484
154,6,0,1,1,1,0,-84.5,0.9474
155,7,0,1,1,1,0,-58.5,0.9465
156,9,0,1,1,1,0,-62.0,0.9455
157,16,0,1,1,1,0,-79.5,0.9446
158,9,0,1,1,1,0,-80.5,0.9436
159,6,0,1,1,1,0,-29.0,0.9427
160,9,0,1,1,1,0,-86.0,0.9417
161,16,0,2,2,1,0,-79.5,0.9408
162,5,0,1,1,1,0,-74.5,0.9399
163,12,0,1,1,1,0,-37.5,0.9389
164,13,0,1,1,1,0,-95.0,0.938
165,14,0,1,1,1,0,-43.0,0.937
166,9,0,1,0,1,0,-64.0,0.9361
167,6,0,1,1,1,0,-47.5,0.9352
168,6,0,1,1,1,0,-48.5,0.9342
169,9,0,1,1,1,0,-39.5,0.9333
170,5,0,1,1,1,0,-82.0,0.9324
171,32,1,4,3,1,0,-134.5,0.9314
172,5,0,1,1,1,0,-74.5,0.9305
173,14,0,2,1,1,0,-79.0,0.9296
174,7,0,1,1,1,0,-58.5,0.9286
175,6,0,1,1,1,0,-56.0,0.9277
176,5,0,1,1,1,0,-50.0,0.9268
177,12,0,1,1,1,0,-70.0,0.9259
178,31,0,3,3,1,0,-113.5,0.9249
179,11,0,1,1,1,0,-68.0,0.924
180,5,0,1,1,1,0,-84.5,0.9231
181,19,0,1,1,1,0,-109.0,0.9222
182,27,0,3,3,1,0,-111.5,0.9212
183,17,0,2,2,1,0,-92.0,0.9203
184,9,0,1,1,1,0,-92.5,0.9194
185,9,0,1,1,1,0,-85.0,0.9185
186,5,0,1,1,1,0,-79.0,0.9176
187,13,0,1,1,1,0,-98.5,0.9166
188,14,0,1,1,1,0,-67.0,0.9157
189,7,0,1,1,1,0,-87.0,0.9148
190,9,0,1,1,1,0,-59.5,0.9139
191,14,0,2,2,1,0,-77.5,0.913
192,21,0,2,1,1,0,-76.5,0.9121
193,5,0,1,1,1,0,-79.0,0.9112
194,5,0,1,1,1,0,-79.0,0.9102
195,6,0,1,1,1,0,-54.5,0.9093
196,9,0,1,1,1,0,-86.5,0.9084
197,7,0,1,1,1,0,-51.5,0.9075
198,7,0,1,1,1,0,-33.0,0.9066
199,5,0,1,1,1,0,-79.0,0.9057
200,10,0,1,1,1,0,-92.5,0.9048
201,16,0,1,1,1,0,-103.0,0.9039
202,10,0,1,1,1,0,-56.5,0.903
203,13,0,1,1,1,0,-67.0,0.9021
204,8,0,1,1,1,0,-51.5,0.9012
205,5,0,1,1,1,0,-77.5,0.9003
206,20,0,2,2,1,0,-102.5,0.8994
207,5,0,1,1,1,0,-80.5,0.8985
208,5,0,1,1,1,0,-80.5,0.8976
209,5,0,1,1,1,0,-79.0,0.8967
210,6,0,1,1,1,0,-83.0,0.8958
211,7,0,1,1,1,0,-49.0,0.8949
212,8,0,1,1,1,0,-43.5,0.894
213,5,0,1,1,1,0,-80.5,0.8931
214,22,0,2,2,1,0,-99.0,0.8922
215,5,0,1,1,1,0,-80.5,0.8913
216,5,0,1,1,1,0,-50.5,0.8904
217,13,0,1,1,1,0,-63.5,0.8895
218,7,0,1,1,1,0,-39.5,0.8886
219,7,0,1,1,1,0,-86.0,0.8878
220,5,0,1,1,1,0,-80.5,0.8869
221,12,0,1,1,1,0,-67.5,0.886
222,12,0,1,1,1,0,-95.0,0.8851
223,5,0,1,1,1,0,-80.5,0.8842
224,8,0,1,1,1,0,-53.0,0.8833
225,5,0,1,1,1,0,-79.0,0.8824
226,5,0,1,1,1,0,-46.0,0.8816
227,5,0,1,1,1,0,-80.5,0.8807
228,15,0,2,2,1,0,-62.0,0.8798
229,13,0,1,1,1,0,-54.0,0.8789
230,7,0,1,1,1,0,-46.0,0.878
231,7,0,1,1,1,0,-82.5,0.8772
232,31,0,3,2,1,0,-148.0,0.8763
233,5,0,1,1,1,0,-80.5,0.8754
234,5,0,1,1,1,0,-80.5,0.8745
235,5,0,1,1,1,0,-82.0,0.8737
236,5,0,1,1,1,0,-46.5,0.8728
237,11,0,1,1,1,0,-49.0,0.8719
238,6,0,1,1,1,0,-38.5,0.871
239,7,0,1,1,1,0,-45.5,0.8702
240,7,0,1,1,1,0,-42.5,0.8693
241,8,0,1,1,1,0,-60.0,0.8684
242,8,0,1,1,1,0,-85.0,0.8676
243,14,0,1,1,1,0,-73.5,0.8667
244,7,0,1,1,1,0,-34.0,0.8658
245,7,0,1,1,1,0,-90.0,0.865
246,9,0,1,1,1,0,-90.0,0.8641
247,5,0,1,1,1,0,-79.0,0.8632
248,8,0,1,1,1,0,-35.5,0.8624
249,5,0,1,1,1,0,-74.5,0.8615
250,14,0,1,1,1,0,-54.5,0.8606
251,6,0,1,1,1,0,-38.5,0.8598
252,7,0,1,1,1,0,-83.0,0.8589
253,13,0,1,1,1,0,-57.5,0.8581
254,11,0,1,1,1,0,-51.0,0.8572
255,9,0,1,1,1,0,-46.0,0.8563
256,15,0,2,2,1,0,-71.0,0.8555
257,7,0,1,1,1,0,-84.5,0.8546
258,39,0,3,3,1,0,-138.0,0.8538
259,6,0,1,1,1,0,-86.0,0.8529
260,7,0,1,1,1,0,-47.5,0.8521
261,13,0,1,1,1,0,-66.0,0.8512
262,6,0,1,1,1,0,-54.0,0.8504
263,7,0,1,1,1,0,-60.0,0.8495
264,5,0,1,1,1,0,-80.5,0.8487
265,5,0,1,1,1,0,-79.0,0.8478
266,7,0,1,1,1,0,-31.5,0.847
267,14,0,2,2,1,0,-90.5,0.8461
268,9,0,1,1,1,0,-47.0,0.8453
269,10,0,1,1,1,0,-57.5,0.8444
270,5,0,1,1,1,0,-79.0,0.8436
271,8,0,1,0,1,0,-59.0,0.8427
272,7,0,1,1,1,0,-56.0,0.8419
273,8,0,1,1,1,0,-88.5,0.8411
274,11,0,1,1,1,0,-70.0,0.8402
275,7,0,1,1,1,0,-31.5,0.8394
276,11,0,1,1,1,0,-61.5,0.8385
277,10,0,1,1,1,0,-95.0,0.8377
278,25,0,2,2,1,0,-92.0,0.8369
279,5,0,1,1,1,0,-74.0,0.836
