round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,7,0,1,1,1,0,-35.0,1.0
2,8,0,1,1,1,0,-24.5,1.0
3,6,0,1,1,1,0,-31.0,1.0
4,5,0,1,1,1,0,-45.5,1.0
5,5,0,1,1,1,0,-44.0,1.0
6,8,0,1,1,1,0,-25.0,1.0
7,11,0,1,1,1,0,-61.0,1.0
8,5,0,1,1,1,0,-45.5,1.0
9,9,0,1,1,1,0,-27.0,1.0
10,13,0,1,1,1,0,-70.0,1.0
11,7,0,1,1,1,0,-16.5,1.0
12,13,0,1,1,1,0,-65.5,1.0
13,9,0,1,1,1,0,-29.0,1.0
14,6,0,1,1,1,0,-51.0,1.0
15,7,0,1,1,1,0,-35.5,1.0
16,16,0,2,1,1,0,-61.5,1.0
17,7,0,1,1,1,0,-21.5,1.0
18,18,0,2,1,1,0,-53.5,1.0
19,6,0,1,1,1,0,-48.0,1.0
20,11,0,1,1,1,0,-53.5,1.0
21,5,0,1,1,1,0,-46.5,1.0
22,16,0,2,1,1,0,-51.0,1.0
23,7,0,1,1,1,0,-52.0,1.0
24,5,0,1,1,1,0,-44.0,1.0
25,15,0,2,2,1,0,-50.0,1.0
26,7,0,1,1,1,0,-35.0,1.0
27,6,0,1,1,1,0,-49.5,1.0
28,5,0,1,1,1,0,-45.5,1.0
29,5,0,1,1,1,0,-27.0,1.0
30,5,0,1,1,1,0,-48.5,1.0
31,17,0,2,2,1,0,-44.0,1.0
32,5,0,1,1,1,0,-45.5,1.0
33,10,0,1,1,1,0,-26.0,1.0
34,7,0,1,1,1,0,-46.0,1.0
35,5,0,1,1,1,0,-45.5,1.0
36,5,0,1,1,1,0,-45.5,1.0
37,6,0,1,1,1,0,-31.0,1.0
38,5,0,1,1,1,0,-44.0,1.0
39,9,0,1,1,1,0,-59.5,1.0
40,18,0,2,1,1,0,-60.0,1.0
41,5,0,1,1,1,0,-45.5,1.0
42,7,0,1,1,1,0,-22.5,1.0
43,10,0,1,1,1,0,-37.0,1.0
44,12,0,1,1,1,0,-58.0,1.0
45,5,0,1,1,1,0,-44.0,1.0
46,11,0,1,1,1,0,-40.5,1.0
