round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-45.5,1.0
2,8,0,1,1,1,0,-26.5,1.0
3,6,0,1,1,1,0,-12.5,1.0
4,6,0,1,1,1,0,-47.0,1.0
5,5,0,1,1,1,0,-25.5,1.0
6,9,0,1,1,1,0,-25.0,1.0
7,14,0,2,2,1,0,-39.0,1.0
8,13,0,1,1,1,0,-49.0,1.0
9,5,0,1,1,1,0,-44.0,1.0
10,5,0,1,1,1,0,-47.0,1.0
11,19,1,2,2,1,0,-17.5,1.0
12,12,0,1,1,1,0,-43.0,1.0
13,9,0,1,1,1,0,-30.5,1.0
14,5,0,1,1,1,0,-48.5,1.0
15,9,0,1,1,1,0,-50.0,1.0
16,7,0,1,1,1,0,-24.0,1.0
17,15,0,1,1,1,0,-76.0,1.0
18,10,0,1,1,1,0,-31.5,1.0
19,7,0,1,1,1,0,-53.5,1.0
20,9,0,1,1,1,0,-39.0,1.0
21,15,0,1,1,1,0,-43.5,1.0
22,5,0,1,1,1,0,-44.0,1.0
23,5,0,1,1,1,0,-44.0,1.0
24,12,0,1,1,1,0,-57.5,1.0
25,12,0,2,2,1,0,-44.0,1.0
26,13,0,2,2,1,0,-39.0,1.0
27,5,0,1,1,1,0,-45.5,1.0
28,9,0,1,1,1,0,-36.5,1.0
29,5,0,1,1,1,0,-45.5,1.0
30,9,0,1,1,1,0,-56.0,1.0
31,7,0,1,1,1,0,-49.5,1.0
32,8,0,1,1,1,0,-51.5,1.0
33,5,0,1,1,1,0,-48.0,1.0
34,16,0,1,1,1,0,-59.0,1.0
35,8,0,1,1,1,0,-57.0,1.0
36,6,0,1,1,1,0,-31.0,1.0
37,7,0,1,1,1,0,-48.0,1.0
38,6,0,1,1,1,0,-48.0,1.0
39,5,0,1,1,1,0,-45.5,1.0
40,5,0,1,1,1,0,-45.5,1.0
41,5,0,1,1,1,0,-27.0,1.0
42,5,0,1,1,1,0,-45.5,1.0
43,6,0,1,1,1,0,-49.5,1.0
44,5,0,1,1,1,0,-9.5,1.0
45,8,0,1,1,1,0,-53.5,1.0
46,9,0,1,1,1,0,-27.5,1.0
47,16,0,2,2,1,0,-47.5,1.0
48,7,0,1,1,1,0,-47.5,1.0
49,6,0,1,1,1,0,-14.0,1.0
50,5,0,1,1,1,0,-44.0,1.0
51,5,0,1,1,1,0,-44.0,1.0
52,5,0,1,1,1,0,-45.5,1.0
53,5,0,1,1,1,0,-41.5,1.0
54,8,0,1,1,1,0,-25.5,1.0
55,24,0,3,2,1,0,-57.0,1.0
56,9,0,1,1,1,0,-51.5,1.0
57,7,0,1,1,1,0,-49.5,1.0
58,25,0,2,2,1,0,-53.0,1.0
59,8,0,1,1,1,0,-25.0,1.0
60,16,0,2,2,1,0,-53.5,1.0
61,7,0,1,1,1,0,-47.5,1.0
62,16,0,2,2,1,0,-38.0,1.0
63,9,0,1,1,1,0,-23.5,1.0
64,6,0,1,1,1,0,-49.5,1.0
65,9,0,1,1,1,0,-57.5,1.0
66,6,0,1,1,1,0,-31.0,1.0
67,5,0,1,1,1,0,-44.0,1.0
68,5,0,1,1,1,0,-45.5,1.0
69,5,0,1,1,1,0,-45.5,1.0
70,12,0,1,1,1,0,-38.0,1.0
71,8,0,1,1,1,0,-30.5,1.0
72,8,0,1,1,1,0,-30.5,1.0
73,9,0,1,1,1,0,-56.0,1.0
74,7,0,1,1,1,0,-49.5,1.0
75,5,0,1,1,1,0,-44.0,1.0
76,5,0,1,1,1,0,-48.5,1.0
77,13,0,1,1,1,0,-32.0,1.0
78,13,0,1,1,1,0,-45.0,1.0
79,19,0,2,2,1,0,-51.5,1.0
80,7,0,1,1,1,0,-48.0,1.0
81,5,0,1,1,1,0,-43.0,1.0
82,11,0,1,1,1,0,-58.0,1.0
83,11,0,1,1,1,0,-63.5,1.0
84,5,0,1,1,1,0,-44.0,1.0
85,5,0,1,1,1,0,-47.5,1.0
86,8,0,1,1,1,0,-39.0,1.0
87,7,0,1,1,1,0,-18.0,1.0
88,6,0,1,1,1,0,-15.5,1.0
89,5,0,1,1,1,0,-44.0,1.0
90,5,0,1,1,1,0,-44.0,1.0
91,18,0,2,2,1,0,-39.5,1.0
92,9,0,1,1,1,0,-29.5,1.0
93,5,0,1,1,1,0,-47.0,1.0
94,10,0,1,1,1,0,-28.5,1.0
95,6,0,1,1,1,0,-48.0,1.0
96,9,0,1,1,1,0,-34.5,1.0
97,6,0,1,1,1,0,-30.5,1.0
98,15,0,2,1,1,0,-49.0,1.0
99,8,0,1,1,1,0,-23.5,1.0
100,6,0,1,1,1,0,-48.0,1.0
101,6,0,1,1,1,0,-53.0,0.999
102,9,0,1,1,1,0,-34.5,0.998
103,5,0,1,1,1,0,-28.5,0.997
104,6,0,1,1,1,0,-17.5,0.996
105,10,0,1,1,1,0,-35.5,0.995
106,15,0,1,1,1,0,-46.5,0.994
107,6,0,1,1,1,0,-43.5,0.993
108,6,0,1,1,1,0,-29.0,0.992
109,7,0,1,1,1,0,-23.0,0.991
110,13,0,2,2,1,0,-28.5,0.99
111,35,0,2,2,1,0,-87.5,0.9891
112,8,0,1,1,1,0,-26.5,0.9881
113,17,0,1,1,1,0,-53.0,0.9871
114,15,0,1,1,1,0,-52.5,0.9861
115,5,0,1,1,1,0,-45.5,0.9851
116,5,0,1,1,1,0,-45.5,0.9841
117,5,0,1,1,1,0,-45.5,0.9831
118,6,0,1,1,1,0,-14.0,0.9822
