round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,10,0,1,1,1,0,-44.0,1.0
2,9,0,1,1,1,0,-22.0,1.0
3,9,0,1,1,1,0,-27.0,1.0
4,13,0,1,1,1,0,-46.0,1.0
5,8,0,1,1,1,0,-50.0,1.0
6,20,0,2,2,1,0,-56.0,1.0
7,7,0,1,1,1,0,-40.0,1.0
8,6,0,1,1,1,0,-48.0,1.0
9,18,0,2,2,1,0,-38.0,1.0
10,6,0,1,1,1,0,-42.0,1.0
11,16,0,1,1,1,0,-54.0,1.0
12,6,0,1,1,1,0,-42.0,1.0
13,13,0,2,2,1,0,-34.0,1.0
14,9,0,1,1,1,0,-16.0,1.0
15,6,0,1,1,1,0,-28.0,1.0
16,13,0,1,1,1,0,-42.0,1.0
17,5,0,1,1,1,0,-41.0,1.0
18,9,0,1,1,1,0,-26.0,1.0
19,6,0,1,1,1,0,-30.0,1.0
20,14,0,2,2,1,0,-35.0,1.0
21,5,0,1,1,1,0,-35.0,1.0
22,5,0,1,1,1,0,-38.0,1.0
23,7,0,1,1,1,0,-32.0,1.0
24,6,0,1,1,1,0,-11.0,1.0
25,10,0,1,1,1,0,-23.0,1.0
26,6,0,1,1,1,0,-48.0,1.0
27,9,0,1,1,1,0,-19.0,1.0
28,8,0,1,1,1,0,-49.0,1.0
29,19,0,2,1,1,0,-62.0,1.0
30,7,0,1,1,1,0,-15.0,1.0
31,7,0,1,1,1,0,-15.0,1.0
32,14,0,1,1,1,0,-47.0,1.0
33,6,0,1,1,1,0,-24.0,1.0
34,5,0,1,1,1,0,-38.0,1.0
35,7,0,1,1,1,0,-45.0,1.0
36,7,0,1,1,1,0,-15.0,1.0
37,5,0,1,1,1,0,-44.0,1.0
38,8,0,1,1,1,0,-18.0,1.0
39,6,0,1,1,1,0,-13.0,1.0
40,10,0,1,1,1,0,-40.0,1.0
41,17,0,2,2,1,0,-20.0,1.0
42,5,0,1,1,1,0,-38.0,1.0
43,8,0,1,1,1,0,-16.0,1.0
44,5,0,1,1,1,0,-45.0,1.0
45,6,0,1,1,1,0,-48.0,1.0
46,31,0,4,4,1,0,-9.0,1.0
47,8,0,1,1,1,0,-28.0,1.0
48,7,0,1,1,1,0,-18.0,1.0
49,6,0,1,1,1,0,-25.0,1.0
50,10,0,1,0,1,0,-49.0,1.0
51,8,0,1,1,1,0,-19.0,1.0
52,8,0,1,1,1,0,-24.0,1.0
53,7,0,1,1,1,0,-32.0,1.0
54,6,0,1,1,1,0,-11.0,1.0
55,5,0,1,1,1,0,-41.0,1.0
56,5,0,1,1,1,0,-47.0,1.0
57,17,0,1,1,1,0,-40.0,1.0
58,8,0,1,1,1,0,-25.0,1.0
59,12,0,1,1,1,0,-25.0,1.0
60,8,0,1,1,1,0,-15.0,1.0
61,5,0,1,1,1,0,-24.0,1.0
62,5,0,1,1,1,0,-38.0,1.0
63,8,0,1,1,1,0,-49.0,1.0
64,20,0,2,2,1,0,-55.0,1.0
65,5,0,1,1,1,0,-44.0,1.0
66,6,0,1,1,1,0,-45.0,1.0
67,10,0,1,1,1,0,-29.0,1.0
68,26,0,2,2,1,0,-44.0,1.0
69,5,0,1,1,1,0,-44.0,1.0
70,8,0,1,1,1,0,-27.0,1.0
71,6,0,1,1,1,0,-14.0,1.0
72,22,0,2,1,1,0,-71.0,1.0
73,8,0,1,1,1,0,-20.0,1.0
74,25,0,2,2,1,0,-54.0,1.0
75,5,0,1,1,1,0,-24.0,1.0
76,8,0,1,1,1,0,-24.0,1.0
77,19,1,2,1,1,0,-47.0,1.0
78,7,0,1,1,1,0,-32.0,1.0
79,9,0,1,1,1,0,-51.0,1.0
80,6,0,1,1,1,0,-42.0,1.0
81,9,0,1,1,1,0,-18.0,1.0
82,10,0,1,1,1,0,-36.0,1.0
83,31,0,2,2,1,0,-67.0,1.0
84,8,0,1,1,1,0,-33.0,1.0
85,8,0,1,1,1,0,-29.0,1.0
86,5,0,1,1,1,0,-38.0,1.0
87,7,0,1,1,1,0,-46.0,1.0
88,7,0,1,1,1,0,-43.0,1.0
89,13,0,1,1,1,0,-34.0,1.0
90,7,0,1,1,1,0,-8.0,1.0
