round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,13,0,2,2,1,0,-36.0,1.0
2,6,0,1,1,1,0,-28.0,1.0
3,7,0,1,1,1,0,-48.0,1.0
4,6,0,1,1,1,0,-41.0,1.0
5,17,0,1,1,1,0,-51.0,1.0
6,5,0,1,1,1,0,-38.0,1.0
7,7,0,1,1,1,0,-15.0,1.0
8,8,0,1,1,1,0,-33.0,1.0
9,5,0,1,1,1,0,-41.0,1.0
10,7,0,1,1,1,0,-16.0,1.0
11,5,0,1,1,1,0,-38.0,1.0
12,5,0,1,1,1,0,-41.0,1.0
13,8,0,1,1,1,0,-22.0,1.0
14,5,0,1,1,1,0,-42.0,1.0
15,9,0,1,1,1,0,-34.0,1.0
16,8,0,1,1,1,0,-30.0,1.0
17,6,0,1,1,1,0,-25.0,1.0
18,7,0,1,1,1,0,-33.0,1.0
19,6,0,1,1,1,0,-43.0,1.0
20,5,0,1,1,1,0,-38.0,1.0
21,5,0,1,1,1,0,-38.0,1.0
22,6,0,1,1,1,0,-42.0,1.0
23,6,0,1,1,1,0,-28.0,1.0
24,7,0,1,1,1,0,-32.0,1.0
25,5,0,1,1,1,0,-41.0,1.0
26,21,0,2,2,1,0,-30.0,1.0
27,5,0,1,1,1,0,-38.0,1.0
28,7,0,1,1,1,0,-48.0,1.0
29,8,0,1,1,1,0,-21.0,1.0
30,14,0,1,1,1,0,-44.0,1.0
31,8,0,1,1,1,0,-41.0,1.0
32,17,0,2,2,1,0,-30.0,1.0
33,8,0,1,1,1,0,-43.0,1.0
34,7,0,1,1,1,0,-30.0,1.0
35,5,0,1,1,1,0,-41.0,1.0
36,5,0,1,1,1,0,-41.0,1.0
37,9,0,1,1,1,0,-26.0,1.0
38,5,0,1,1,1,0,-41.0,1.0
39,6,0,1,1,1,0,-27.0,1.0
40,5,0,1,1,1,0,-38.0,1.0
41,5,0,1,1,1,0,-41.0,1.0
42,6,0,1,1,1,0,-28.0,1.0
43,8,0,1,1,1,0,-33.0,1.0
44,5,0,1,1,1,0,-38.0,1.0
45,5,0,1,1,1,0,-44.0,1.0
46,8,0,1,1,1,0,-53.0,1.0
47,5,0,1,1,1,0,-38.0,1.0
48,5,0,1,1,1,0,-21.0,1.0
49,5,0,1,1,1,0,-38.0,1.0
50,5,0,1,1,1,0,-38.0,1.0
51,14,0,1,1,1,0,-57.0,1.0
52,6,0,1,1,1,0,-25.0,1.0
53,12,0,1,1,1,0,-46.0,1.0
54,5,0,1,1,1,0,-38.0,1.0
55,7,0,1,1,1,0,-21.0,1.0
56,8,0,1,1,1,0,-12.0,1.0
57,5,0,1,1,1,0,-24.0,1.0
58,7,0,1,1,1,0,-50.0,1.0
59,11,0,1,1,1,0,-31.0,1.0
60,6,0,1,1,1,0,-28.0,1.0
61,9,0,1,1,1,0,-56.0,1.0
62,13,0,1,1,1,0,-66.0,1.0
63,11,0,1,1,1,0,-53.0,1.0
64,7,0,1,1,1,0,-32.0,1.0
65,9,0,1,1,1,0,-20.0,1.0
66,10,0,1,1,1,0,-54.0,1.0
67,5,0,1,1,1,0,-41.0,1.0
68,8,0,1,1,1,0,-19.0,1.0
69,5,0,1,1,1,0,-38.0,1.0
70,8,0,1,1,1,0,-44.0,1.0
71,5,0,1,1,1,0,-41.0,1.0
72,13,0,1,1,1,0,-56.0,1.0
73,8,0,1,1,1,0,-19.0,1.0
74,5,0,1,1,1,0,-41.0,1.0
75,9,0,1,1,1,0,-28.0,1.0
76,5,0,1,1,1,0,-41.0,1.0
77,7,0,1,1,1,0,-31.0,1.0
78,9,0,1,1,1,0,-53.0,1.0
79,10,0,1,1,1,0,-48.0,1.0
80,8,0,1,1,1,0,-44.0,1.0
81,11,0,1,1,1,0,-28.0,1.0
82,7,0,1,1,1,0,-45.0,1.0
83,10,0,1,1,1,0,-50.0,1.0
84,11,0,1,1,1,0,-48.0,1.0
85,5,0,1,1,1,0,-38.0,1.0
86,8,0,1,1,1,0,-22.0,1.0
87,8,0,1,1,1,0,-47.0,1.0
88,8,0,1,1,1,0,-36.0,1.0
89,14,0,1,1,1,0,-76.0,1.0
90,6,0,1,1,1,0,-25.0,1.0
91,10,0,1,1,1,0,-30.0,1.0
92,8,0,1,1,1,0,-27.0,1.0
93,8,0,1,1,1,0,-44.0,1.0
94,6,0,1,1,1,0,-48.0,1.0
95,10,0,1,1,1,0,-28.0,1.0
96,5,0,1,1,1,0,-42.0,1.0
97,7,0,1,1,1,0,-30.0,1.0
98,8,0,1,1,1,0,-43.0,1.0
99,6,0,1,1,1,0,-25.0,1.0
100,17,0,1,1,1,0,-29.0,1.0
101,5,0,1,1,1,0,-41.0,0.999
102,8,0,1,1,1,0,-19.0,0.998
103,8,0,1,1,1,0,-53.0,0.997
104,5,0,1,1,1,0,-41.0,0.996
105,5,0,1,1,1,0,-38.0,0.995
106,8,0,1,1,1,0,-50.0,0.994
107,9,0,1,1,1,0,-50.0,0.993
108,17,0,2,2,1,0,-28.0,0.992
109,6,0,1,1,1,0,-42.0,0.991
110,6,0,1,1,1,0,-48.0,0.99
111,9,0,1,1,1,0,-50.0,0.9891
112,5,0,1,1,1,0,-44.0,0.9881
113,12,0,1,1,1,0,-45.0,0.9871
114,7,0,1,1,1,0,-46.0,0.9861
115,12,0,2,2,1,0,-17.0,0.9851
116,6,0,1,1,1,0,-27.0,0.9841
117,7,0,1,1,1,0,-15.0,0.9831
118,46,0,5,3,1,0,-102.0,0.9822
119,7,0,1,1,1,0,-23.0,0.9812
120,6,0,1,1,1,0,-45.0,0.9802
121,8,0,1,0,1,0,-58.0,0.9792
122,9,0,1,1,1,0,-34.0,0.9782
123,7,0,1,1,1,0,-15.0,0.9773
124,7,0,1,1,1,0,-45.0,0.9763
125,5,0,1,1,1,0,-44.0,0.9753
126,5,0,1,1,1,0,-15.0,0.9743
127,8,0,1,1,1,0,-45.0,0.9733
128,7,0,1,1,1,0,-52.0,0.9724
129,8,0,1,1,1,0,-29.0,0.9714
130,6,0,1,1,1,0,-14.0,0.9704
131,26,0,3,2,1,0,-69.0,0.9695
132,12,0,1,1,1,0,-58.0,0.9685
133,9,0,1,1,1,0,-29.0,0.9675
134,6,0,1,1,1,0,-13.0,0.9666
135,8,0,1,1,1,0,-22.0,0.9656
136,5,0,1,1,1,0,-38.0,0.9646
137,7,0,1,1,1,0,-15.0,0.9637
138,7,0,1,1,1,0,-49.0,0.9627
139,10,0,1,1,1,0,-23.0,0.9617
140,11,0,1,1,1,0,-32.0,0.9608
141,7,0,1,1,1,0,-8.0,0.9598
142,5,0,1,1,1,0,-41.0,0.9588
143,6,0,1,1,1,0,-25.0,0.9579
144,9,0,1,1,1,0,-31.0,0.9569
145,5,0,1,1,1,0,-41.0,0.956
146,6,0,1,1,1,0,-45.0,0.955
147,5,0,1,1,1,0,-38.0,0.9541
148,13,0,1,1,1,0,-35.0,0.9531
149,9,0,1,1,1,0,-50.0,0.9522
150,7,0,1,1,1,0,-29.0,0.9512
151,10,0,1,1,1,0,-38.0,0.9503
152,6,0,1,1,1,0,-50.0,0.9493
153,7,0,1,1,1,0,-37.0,0.9484
154,14,0,2,2,1,0,-32.0,0.9474
155,10,0,1,1,1,0,-52.0,0.9465
156,7,0,1,1,1,0,-12.0,0.9455
157,11,0,1,1,1,0,-27.0,0.9446
158,9,0,1,1,1,0,-53.0,0.9436
159,9,0,1,1,1,0,-26.0,0.9427
160,6,0,1,1,1,0,-19.0,0.9417
161,6,0,1,1,1,0,-30.0,0.9408
162,10,0,1,1,1,0,-58.0,0.9399
163,5,0,1,1,1,0,-44.0,0.9389
164,7,0,1,1,1,0,-42.0,0.938
165,5,0,1,1,1,0,-44.0,0.937
166,5,0,1,1,1,0,-41.0,0.9361
167,7,0,1,1,1,0,-26.0,0.9352
168,5,0,1,1,1,0,-38.0,0.9342
169,5,0,1,1,1,0,-38.0,0.9333
170,10,0,1,1,1,0,-48.0,0.9324
171,23,1,3,2,1,0,-42.0,0.9314
172,31,0,4,4,1,0,-41.0,0.9305
173,7,0,1,1,1,0,-15.0,0.9296
174,14,0,2,2,1,0,-24.0,0.9286
175,6,0,1,1,1,0,-28.0,0.9277
176,5,0,1,1,1,0,-41.0,0.9268
177,11,0,1,1,1,0,-27.0,0.9259
178,6,0,1,1,1,0,-19.0,0.9249
179,6,0,1,1,1,0,-23.0,0.924
180,11,0,1,1,1,0,-42.0,0.9231
181,5,0,1,1,1,0,-38.0,0.9222
182,5,0,1,1,1,0,-44.0,0.9212
183,5,0,1,1,1,0,-38.0,0.9203
184,16,0,2,2,1,0,-24.0,0.9194
185,8,0,1,1,1,0,-21.0,0.9185
186,18,0,2,2,1,0,-53.0,0.9176
