round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,6,0,1,1,1,0,-27.0,1.0
2,6,0,1,1,1,0,-25.0,1.0
3,5,0,1,1,1,0,-41.0,1.0
4,5,0,1,1,1,0,-25.0,1.0
5,13,0,2,2,1,0,-24.0,1.0
6,7,0,1,1,1,0,-46.0,1.0
7,5,0,1,1,1,0,-41.0,1.0
8,9,0,1,1,1,0,-17.0,1.0
9,11,0,1,1,1,0,-45.0,1.0
10,6,0,1,1,1,0,-25.0,1.0
11,7,0,1,1,1,0,-42.0,1.0
12,16,0,1,1,1,0,-37.0,1.0
13,16,0,1,1,1,0,-53.0,1.0
14,14,0,1,1,1,0,-68.0,1.0
15,6,0,1,1,1,0,-28.0,1.0
16,5,0,1,1,1,0,-38.0,1.0
17,5,0,1,1,1,0,-35.0,1.0
18,19,0,1,1,1,0,-34.0,1.0
19,5,0,1,1,1,0,-38.0,1.0
20,5,0,1,1,1,0,-41.0,1.0
21,5,0,1,1,1,0,-38.0,1.0
22,9,0,1,1,1,0,-9.0,1.0
23,10,0,1,1,1,0,-20.0,1.0
24,5,0,1,1,1,0,-47.0,1.0
25,6,0,1,1,1,0,-28.0,1.0
26,5,0,1,1,1,0,-35.0,1.0
27,19,0,2,1,1,0,-67.0,1.0
28,6,0,1,1,1,0,-45.0,1.0
29,10,0,1,1,1,0,-53.0,1.0
30,7,0,1,1,1,0,-15.0,1.0
31,5,0,1,1,1,0,-28.0,1.0
32,10,0,1,1,1,0,-37.0,1.0
33,5,0,1,1,1,0,-38.0,1.0
34,5,0,1,1,1,0,-41.0,1.0
35,8,0,1,1,1,0,-19.0,1.0
36,5,0,1,1,1,0,-28.0,1.0
37,5,0,1,1,1,0,-41.0,1.0
38,5,0,1,1,1,0,-41.0,1.0
39,6,0,1,1,1,0,-11.0,1.0
40,18,0,2,2,1,0,-39.0,1.0
41,5,0,1,1,1,0,-41.0,1.0
42,5,0,1,1,1,0,-44.0,1.0
43,16,0,2,2,1,0,-36.0,1.0
44,6,0,1,1,1,0,-48.0,1.0
45,5,0,1,1,1,0,-44.0,1.0
46,10,0,1,1,1,0,-24.0,1.0
47,15,0,1,1,1,0,-74.0,1.0
48,8,0,1,1,1,0,-21.0,1.0
49,6,0,1,1,1,0,-25.0,1.0
50,5,0,1,1,1,0,-38.0,1.0
51,8,0,1,1,1,0,-25.0,1.0
52,16,0,1,1,1,0,-54.0,1.0
53,9,0,1,1,1,0,-24.0,1.0
54,6,0,1,1,1,0,-30.0,1.0
55,5,0,1,1,1,0,-38.0,1.0
56,7,0,1,1,1,0,-46.0,1.0
57,6,0,1,1,1,0,-28.0,1.0
58,17,0,1,1,1,0,-38.0,1.0
59,6,0,1,1,1,0,-26.0,1.0
60,6,0,1,1,1,0,-15.0,1.0
61,7,0,1,1,1,0,-40.0,1.0
62,5,0,1,1,1,0,-44.0,1.0
63,16,0,2,2,1,0,-46.0,1.0
64,7,0,1,1,1,0,-42.0,1.0
65,10,0,1,1,1,0,-31.0,1.0
66,5,0,1,1,1,0,-37.0,1.0
67,5,0,1,1,1,0,-38.0,1.0
68,21,0,2,2,1,0,-62.0,1.0
69,7,0,1,1,1,0,-22.0,1.0
70,9,0,1,1,1,0,-19.0,1.0
71,5,0,1,1,1,0,-37.0,1.0
72,6,0,1,1,1,0,-45.0,1.0
73,5,0,1,1,1,0,-38.0,1.0
74,9,0,1,0,1,0,-52.0,1.0
75,6,0,1,1,1,0,-45.0,1.0
76,5,0,1,1,1,0,-44.0,1.0
77,18,0,2,2,1,0,-36.0,1.0
78,6,0,1,1,1,0,-28.0,1.0
79,5,0,1,1,1,0,-38.0,1.0
80,7,0,1,1,1,0,-15.0,1.0
81,14,0,2,2,1,0,-39.0,1.0
82,17,0,2,2,1,0,-26.0,1.0
83,5,0,1,1,1,0,-41.0,1.0
84,7,0,1,1,1,0,-29.0,1.0
85,5,0,1,1,1,0,-44.0,1.0
86,8,0,1,1,1,0,-46.0,1.0
87,11,0,1,1,1,0,-41.0,1.0
88,5,0,1,1,1,0,-38.0,1.0
89,8,0,1,1,1,0,-50.0,1.0
90,7,0,1,1,1,0,-29.0,1.0
91,5,0,1,1,1,0,-44.0,1.0
92,15,0,2,2,1,0,-37.0,1.0
93,18,0,2,1,1,0,-49.0,1.0
94,5,0,1,1,1,0,-44.0,1.0
95,10,0,1,1,1,0,-52.0,1.0
96,5,0,1,1,1,0,-25.0,1.0
97,5,0,1,1,1,0,-38.0,1.0
98,6,0,1,1,1,0,-14.0,1.0
99,43,0,4,4,1,0,-72.0,1.0
100,14,0,1,1,1,0,-54.0,1.0
101,5,0,1,1,1,0,-44.0,0.999
102,19,0,2,2,1,0,-48.0,0.998
103,16,0,2,2,1,0,-45.0,0.997
104,8,0,1,1,1,0,-44.0,0.996
105,8,0,1,1,1,0,-33.0,0.995
106,5,0,1,1,1,0,-41.0,0.994
107,9,0,1,1,1,0,-36.0,0.993
108,10,0,1,1,1,0,-38.0,0.992
109,14,0,2,2,1,0,-7.0,0.991
110,10,0,1,1,1,0,-23.0,0.99
111,5,0,1,1,1,0,-37.0,0.9891
112,6,0,1,1,1,0,-25.0,0.9881
113,10,0,1,1,1,0,-23.0,0.9871
114,5,0,1,1,1,0,-41.0,0.9861
115,6,0,1,1,1,0,-25.0,0.9851
116,7,0,1,1,1,0,-40.0,0.9841
117,5,0,1,1,1,0,-22.0,0.9831
118,10,0,1,1,1,0,-29.0,0.9822
119,8,0,1,1,1,0,-21.0,0.9812
120,6,0,1,1,1,0,-28.0,0.9802
121,7,0,1,1,1,0,-29.0,0.9792
122,12,0,1,1,1,0,-50.0,0.9782
123,8,0,1,1,1,0,-21.0,0.9773
124,17,0,2,2,1,0,-38.0,0.9763
125,14,0,2,2,1,0,-39.0,0.9753
126,7,0,1,1,1,0,-25.0,0.9743
127,5,0,1,1,1,0,-41.0,0.9733
128,5,0,1,1,1,0,-38.0,0.9724
129,11,0,1,1,1,0,-28.0,0.9714
