round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-41.0,1.0
2,9,0,1,1,1,0,-34.0,1.0
3,10,0,1,1,1,0,-23.0,1.0
4,8,0,1,1,1,0,-22.0,1.0
5,6,0,1,1,1,0,-25.0,1.0
6,6,0,1,1,1,0,-11.0,1.0
7,8,0,1,1,1,0,-24.0,1.0
8,9,0,1,1,1,0,-22.0,1.0
9,7,0,1,1,1,0,-17.0,1.0
10,7,0,1,1,1,0,-18.0,1.0
11,10,0,1,1,1,0,-57.0,1.0
12,6,0,1,0,1,0,-38.0,1.0
13,14,0,1,1,1,0,-52.0,1.0
14,7,0,1,1,1,0,-15.0,1.0
15,17,0,2,2,1,0,-49.0,1.0
16,6,0,1,1,1,0,-27.0,1.0
17,5,0,1,1,1,0,-38.0,1.0
18,8,0,1,1,1,0,-35.0,1.0
19,5,0,1,1,1,0,-44.0,1.0
20,10,0,1,1,1,0,-27.0,1.0
21,5,0,1,1,1,0,-41.0,1.0
22,9,0,1,1,1,0,-50.0,1.0
23,5,0,1,1,1,0,-19.0,1.0
24,14,0,2,2,1,0,-28.0,1.0
25,14,0,1,1,1,0,-30.0,1.0
26,5,0,1,1,1,0,-24.0,1.0
27,5,0,1,1,1,0,-38.0,1.0
28,7,0,1,1,1,0,-30.0,1.0
29,10,0,1,1,1,0,-37.0,1.0
30,5,0,1,1,1,0,-44.0,1.0
31,9,0,1,1,1,0,-16.0,1.0
32,8,0,1,1,1,0,-19.0,1.0
33,5,0,1,1,1,0,-30.0,1.0
34,33,0,3,2,1,0,-69.0,1.0
35,10,0,1,1,1,0,-23.0,1.0
36,5,0,1,1,1,0,-27.0,1.0
37,7,0,1,1,1,0,-29.0,1.0
38,11,0,1,1,1,0,-25.0,1.0
39,9,0,1,1,1,0,-37.0,1.0
40,11,0,1,1,1,0,-27.0,1.0
41,7,0,1,1,1,0,-29.0,1.0
42,15,0,2,2,1,0,-28.0,1.0
43,16,0,1,1,1,0,-43.0,1.0
44,22,0,1,1,1,0,-76.0,1.0
