round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-41.0,1.0
2,9,0,1,1,1,0,-34.0,1.0
3,29,0,3,2,1,0,-74.0,1.0
4,6,0,1,1,1,0,-42.0,1.0
5,6,0,1,1,1,0,-30.0,1.0
6,14,0,1,1,1,0,-60.0,1.0
7,22,0,2,2,1,0,-60.0,1.0
8,6,0,1,1,1,0,-30.0,1.0
9,12,0,1,1,1,0,-54.0,1.0
10,7,0,1,1,1,0,-46.0,1.0
11,5,0,1,1,1,0,-35.0,1.0
12,17,0,2,2,1,0,-32.0,1.0
13,9,0,1,1,1,0,-37.0,1.0
14,6,0,1,1,1,0,-42.0,1.0
15,5,0,1,1,1,0,-41.0,1.0
16,7,0,1,1,1,0,-21.0,1.0
17,6,0,1,1,1,0,-25.0,1.0
18,7,0,1,1,1,0,-18.0,1.0
19,9,0,1,1,1,0,-29.0,1.0
20,27,0,3,2,1,0,-57.0,1.0
21,7,0,1,1,1,0,-28.0,1.0
22,10,0,1,1,1,0,-33.0,1.0
23,9,0,1,1,1,0,-37.0,1.0
24,10,0,1,1,1,0,-26.0,1.0
25,14,0,1,1,1,0,-36.0,1.0
26,7,0,1,1,1,0,-15.0,1.0
27,7,0,1,1,1,0,-46.0,1.0
28,27,0,3,2,1,0,-84.0,1.0
29,15,0,1,1,1,0,-39.0,1.0
30,15,0,2,2,1,0,-21.0,1.0
31,16,0,1,1,1,0,-42.0,1.0
32,15,0,1,1,1,0,-58.0,1.0
33,5,0,1,1,1,0,-38.0,1.0
34,6,0,1,1,1,0,-17.0,1.0
35,6,0,1,1,1,0,-25.0,1.0
36,11,0,1,1,1,0,-52.0,1.0
37,16,0,2,2,1,0,-33.0,1.0
38,12,0,1,1,1,0,-36.0,1.0
39,5,0,1,1,1,0,-24.0,1.0
40,5,0,1,1,1,0,-41.0,1.0
41,5,0,1,1,1,0,-44.0,1.0
42,7,0,1,1,1,0,-43.0,1.0
43,6,0,1,1,1,0,-16.0,1.0
44,5,0,1,1,1,0,-38.0,1.0
