round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-41.0,1.0
2,5,0,1,1,1,0,-41.0,1.0
3,5,0,1,1,1,0,-44.0,1.0
4,11,0,1,1,1,0,-50.0,1.0
5,6,0,1,1,1,0,-27.0,1.0
6,5,0,1,1,1,0,-36.0,1.0
7,7,0,1,1,1,0,-15.0,1.0
8,11,0,1,1,1,0,-43.0,1.0
9,21,0,2,2,1,0,-55.0,1.0
10,5,0,1,1,1,0,-41.0,1.0
11,10,0,1,1,1,0,-23.0,1.0
12,17,0,1,1,1,0,-54.0,1.0
13,6,0,1,1,1,0,-25.0,1.0
14,5,0,1,1,1,0,-28.0,1.0
15,7,0,1,1,1,0,-51.0,1.0
16,16,0,1,1,1,0,-31.0,1.0
17,8,0,1,1,1,0,-29.0,1.0
18,9,0,1,0,1,0,-44.0,1.0
19,13,0,1,1,1,0,-41.0,1.0
20,5,0,1,1,1,0,-21.0,1.0
21,9,0,1,1,1,0,-26.0,1.0
22,10,0,1,1,1,0,-43.0,1.0
23,24,0,2,2,1,0,-51.0,1.0
24,7,0,1,1,1,0,-43.0,1.0
25,8,0,1,1,1,0,-14.0,1.0
26,7,0,1,1,1,0,-31.0,1.0
27,6,0,1,1,1,0,-28.0,1.0
28,8,0,1,1,1,0,-12.0,1.0
29,7,0,1,1,1,0,-32.0,1.0
30,5,0,1,1,1,0,-38.0,1.0
31,21,0,2,2,1,0,-37.0,1.0
32,10,0,1,1,1,0,-25.0,1.0
33,11,0,1,1,1,0,-44.0,1.0
34,8,0,1,1,1,0,-20.0,1.0
35,11,0,1,1,1,0,-56.0,1.0
36,5,0,1,1,1,0,-38.0,1.0
37,6,0,1,1,1,0,-42.0,1.0
38,6,0,1,1,1,0,-42.0,1.0
39,6,0,1,1,1,0,-42.0,1.0
40,13,0,1,1,1,0,-61.0,1.0
41,7,0,1,1,1,0,-22.0,1.0
42,17,0,1,1,1,0,-43.0,1.0
43,8,0,1,1,1,0,-22.0,1.0
44,7,0,1,1,1,0,-8.0,1.0
45,5,0,1,1,1,0,-41.0,1.0
46,5,0,1,1,1,0,-21.0,1.0
47,9,0,1,1,1,0,-44.0,1.0
48,21,0,2,2,1,0,-42.0,1.0
49,5,0,1,1,1,0,-22.0,1.0
50,7,0,1,1,1,0,-37.0,1.0
51,9,0,1,1,1,0,-12.0,1.0
52,5,0,1,1,1,0,-38.0,1.0
53,6,0,1,1,1,0,-14.0,1.0
54,7,0,1,1,1,0,-29.0,1.0
55,10,0,1,1,1,0,-24.0,1.0
56,7,0,1,1,1,0,-43.0,1.0
57,7,0,1,1,1,0,-40.0,1.0
58,5,0,1,1,1,0,-38.0,1.0
59,7,0,1,1,1,0,-29.0,1.0
60,9,0,1,1,1,0,-48.0,1.0
61,16,0,2,2,1,0,-36.0,1.0
62,9,0,1,1,1,0,-15.0,1.0
63,13,0,1,1,1,0,-39.0,1.0
64,11,0,1,1,1,0,-34.0,1.0
65,6,0,1,1,1,0,-25.0,1.0
66,8,0,1,1,1,0,-47.0,1.0
67,12,0,1,1,1,0,-28.0,1.0
68,5,0,1,1,1,0,-22.0,1.0
69,5,0,1,1,1,0,-38.0,1.0
70,5,0,1,1,1,0,-38.0,1.0
71,6,0,1,1,1,0,-42.0,1.0
72,13,0,1,1,1,0,-33.0,1.0
73,18,0,2,2,1,0,-50.0,1.0
74,24,0,2,2,1,0,-34.0,1.0
75,15,0,2,2,1,0,-46.0,1.0
76,5,0,1,1,1,0,-38.0,1.0
77,13,0,1,1,1,0,-40.0,1.0
78,17,1,2,1,1,0,-41.0,1.0
79,9,0,1,1,1,0,-46.0,1.0
80,17,0,2,2,1,0,-44.0,1.0
81,6,0,1,1,1,0,-42.0,1.0
82,15,0,1,1,1,0,-54.0,1.0
83,5,0,1,1,1,0,-41.0,1.0
84,8,0,1,1,1,0,-46.0,1.0
85,5,0,1,1,1,0,-44.0,1.0
86,6,0,1,1,1,0,-25.0,1.0
87,5,0,1,1,1,0,-24.0,1.0
88,7,0,1,1,1,0,-40.0,1.0
89,5,0,1,1,1,0,-38.0,1.0
90,9,0,1,1,1,0,-25.0,1.0
91,5,0,1,1,1,0,-43.0,1.0
92,7,0,1,1,1,0,-32.0,1.0
93,5,0,1,1,1,0,-38.0,1.0
94,20,0,2,2,1,0,-54.0,1.0
95,6,0,1,1,1,0,-42.0,1.0
96,5,0,1,1,1,0,-41.0,1.0
97,6,0,1,1,1,0,-25.0,1.0
98,8,0,1,1,1,0,-35.0,1.0
99,6,0,1,1,1,0,-43.0,1.0
100,6,0,1,1,1,0,-26.0,1.0
101,8,0,1,1,1,0,-53.0,0.999
102,5,0,1,1,1,0,-41.0,0.998
103,7,0,1,1,1,0,-51.0,0.997
104,8,0,1,1,1,0,-24.0,0.996
105,9,0,1,1,1,0,-53.0,0.995
106,8,0,1,1,1,0,-23.0,0.994
107,19,0,2,2,1,0,-55.0,0.993
108,12,0,1,1,1,0,-29.0,0.992
109,5,0,1,1,1,0,-41.0,0.991
110,5,0,1,1,1,0,-41.0,0.99
111,18,0,1,1,1,0,-55.0,0.9891
112,10,0,1,1,1,0,-26.0,0.9881
113,28,1,3,3,1,0,-33.0,0.9871
114,6,0,1,1,1,0,-11.0,0.9861
115,6,0,1,1,1,0,-48.0,0.9851
116,5,0,1,1,1,0,-37.0,0.9841
117,5,0,1,1,1,0,-45.0,0.9831
118,15,0,2,2,1,0,-19.0,0.9822
119,8,0,1,1,1,0,-30.0,0.9812
120,7,0,1,1,1,0,-13.0,0.9802
121,15,0,2,2,1,0,-38.0,0.9792
122,6,0,1,1,1,0,-26.0,0.9782
123,9,0,1,1,1,0,-50.0,0.9773
124,7,0,1,1,1,0,-22.0,0.9763
125,5,0,1,1,1,0,-38.0,0.9753
126,30,0,2,2,1,0,-62.0,0.9743
127,5,0,1,1,1,0,-41.0,0.9733
128,6,0,1,1,1,0,-31.0,0.9724
129,13,0,1,1,1,0,-33.0,0.9714
130,10,0,1,1,1,0,-17.0,0.9704
131,11,0,1,1,1,0,-31.0,0.9695
132,11,0,1,1,1,0,-34.0,0.9685
133,5,0,1,1,1,0,-37.0,0.9675
134,11,0,1,1,1,0,-18.0,0.9666
135,8,0,1,1,1,0,-43.0,0.9656
136,6,0,1,1,1,0,-28.0,0.9646
137,13,0,1,1,1,0,-46.0,0.9637
138,8,0,1,1,1,0,-20.0,0.9627
139,5,0,1,1,1,0,-41.0,0.9617
140,5,0,1,1,1,0,-41.0,0.9608
141,8,0,1,1,1,0,-25.0,0.9598
142,8,0,1,1,1,0,-49.0,0.9588
143,5,0,1,1,1,0,-24.0,0.9579
144,13,0,1,1,1,0,-32.0,0.9569
145,7,0,1,1,1,0,-15.0,0.956
146,27,0,3,2,1,0,-80.0,0.955
147,7,0,1,1,1,0,-45.0,0.9541
148,8,0,1,1,1,0,-18.0,0.9531
149,9,0,1,1,1,0,-21.0,0.9522
150,8,0,1,1,1,0,-19.0,0.9512
151,12,0,1,1,1,0,-27.0,0.9503
152,9,0,1,1,1,0,-29.0,0.9493
153,12,0,1,1,1,0,-47.0,0.9484
154,7,0,1,1,1,0,-32.0,0.9474
155,5,0,1,1,1,0,-38.0,0.9465
156,5,0,1,1,1,0,-21.0,0.9455
157,6,0,1,1,1,0,-42.0,0.9446
158,9,0,1,1,1,0,-37.0,0.9436
159,10,0,1,1,1,0,-48.0,0.9427
160,7,0,1,1,1,0,-43.0,0.9417
161,5,0,1,1,1,0,-38.0,0.9408
162,7,0,1,1,1,0,-40.0,0.9399
163,12,0,1,1,1,0,-60.0,0.9389
164,15,0,2,2,1,0,-32.0,0.938
165,5,0,1,1,1,0,-38.0,0.937
166,18,0,2,1,1,0,-57.0,0.9361
167,7,0,1,1,1,0,-15.0,0.9352
168,9,0,1,1,1,0,-20.0,0.9342
169,6,0,1,1,1,0,-14.0,0.9333
170,25,0,1,1,1,0,-53.0,0.9324
171,5,0,1,1,1,0,-41.0,0.9314
172,15,0,2,2,1,0,-30.0,0.9305
173,8,0,1,1,1,0,-52.0,0.9296
174,6,0,1,1,1,0,-39.0,0.9286
175,11,0,1,1,1,0,-32.0,0.9277
176,5,0,1,1,1,0,-38.0,0.9268
177,10,0,1,1,1,0,-21.0,0.9259
178,23,0,2,2,1,0,-60.0,0.9249
179,8,0,1,1,1,0,-33.0,0.924
180,5,0,1,1,1,0,-38.0,0.9231
181,6,0,1,1,1,0,-14.0,0.9222
182,7,0,1,1,1,0,-18.0,0.9212
183,8,0,1,1,1,0,-15.0,0.9203
184,5,0,1,1,1,0,-23.0,0.9194
185,6,0,1,1,1,0,-8.0,0.9185
186,6,0,1,1,1,0,-27.0,0.9176
187,19,0,2,2,1,0,-50.0,0.9166
188,8,0,1,1,1,0,-49.0,0.9157
189,17,0,2,2,1,0,-33.0,0.9148
190,6,0,1,1,1,0,-11.0,0.9139
191,6,0,1,1,1,0,-16.0,0.913
