round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-35.0,1.0
2,6,0,1,1,1,0,-13.0,1.0
3,19,1,2,2,1,0,-38.0,1.0
4,5,0,1,1,1,0,-38.0,1.0
5,8,0,1,1,1,0,-17.0,1.0
6,6,0,1,1,1,0,-42.0,1.0
7,9,0,1,1,1,0,-48.0,1.0
8,7,0,1,1,1,0,-18.0,1.0
9,5,0,1,1,1,0,-21.0,1.0
10,7,0,1,1,1,0,-20.0,1.0
11,10,0,1,1,1,0,-37.0,1.0
12,8,0,1,1,1,0,-52.0,1.0
13,7,0,1,1,1,0,-43.0,1.0
14,6,0,1,1,1,0,-25.0,1.0
15,5,0,1,1,1,0,-38.0,1.0
16,8,0,1,1,1,0,-32.0,1.0
17,8,0,1,1,1,0,-36.0,1.0
18,5,0,1,1,1,0,-44.0,1.0
19,9,0,1,1,1,0,-47.0,1.0
20,5,0,1,1,1,0,-38.0,1.0
21,6,0,1,1,1,0,-25.0,1.0
22,6,0,1,1,1,0,-42.0,1.0
23,11,0,1,0,1,0,-49.0,1.0
24,7,0,1,1,1,0,-26.0,1.0
25,7,0,1,1,1,0,-11.0,1.0
26,5,0,1,1,1,0,-38.0,1.0
27,23,0,3,2,1,0,-70.0,1.0
28,13,0,1,1,1,0,-56.0,1.0
29,11,0,1,1,1,0,-65.0,1.0
30,14,0,1,1,1,0,-35.0,1.0
31,13,0,2,2,1,0,-30.0,1.0
32,10,0,1,1,1,0,-27.0,1.0
33,5,0,1,1,1,0,-41.0,1.0
34,9,0,1,1,1,0,-24.0,1.0
35,8,0,1,1,1,0,-20.0,1.0
36,10,0,1,1,1,0,-53.0,1.0
37,9,0,1,1,1,0,-20.0,1.0
38,8,0,1,1,1,0,-22.0,1.0
39,14,0,2,1,1,0,-60.0,1.0
40,5,0,1,1,1,0,-38.0,1.0
41,9,0,1,1,1,0,-51.0,1.0
42,5,0,1,1,1,0,-47.0,1.0
43,11,0,1,1,1,0,-59.0,1.0
44,9,0,1,1,1,0,-47.0,1.0
45,14,0,2,2,1,0,-41.0,1.0
46,5,0,1,1,1,0,-38.0,1.0
47,16,0,2,2,1,0,-40.0,1.0
48,19,0,2,2,1,0,-38.0,1.0
49,7,0,1,1,1,0,-29.0,1.0
50,7,0,1,1,1,0,-49.0,1.0
51,10,0,1,1,1,0,-38.0,1.0
52,5,0,1,1,1,0,-37.0,1.0
53,8,0,1,1,1,0,-36.0,1.0
54,5,0,1,1,1,0,-41.0,1.0
55,10,0,1,1,1,0,-37.0,1.0
56,18,0,2,2,1,0,-39.0,1.0
57,5,0,1,1,1,0,-23.0,1.0
58,5,0,1,1,1,0,-41.0,1.0
59,7,0,1,1,1,0,-43.0,1.0
60,8,0,1,1,1,0,-22.0,1.0
61,35,1,3,3,1,0,-65.0,1.0
62,11,0,1,1,1,0,-33.0,1.0
63,13,0,1,1,1,0,-68.0,1.0
64,8,0,1,1,1,0,-30.0,1.0
65,5,0,1,1,1,0,-41.0,1.0
66,19,0,2,2,1,0,-28.0,1.0
67,13,0,1,1,1,0,-56.0,1.0
68,6,0,1,1,1,0,-25.0,1.0
69,24,0,2,2,1,0,-42.0,1.0
70,13,0,1,1,1,0,-43.0,1.0
71,5,0,1,1,1,0,-38.0,1.0
72,9,0,1,1,1,0,-26.0,1.0
73,6,0,1,1,1,0,-45.0,1.0
74,14,0,2,2,1,0,-41.0,1.0
75,22,0,3,3,1,0,-37.0,1.0
76,10,0,1,1,1,0,-48.0,1.0
77,6,0,1,1,1,0,-53.0,1.0
78,5,0,1,1,1,0,-41.0,1.0
79,13,0,2,2,1,0,-31.0,1.0
80,6,0,1,1,1,0,-45.0,1.0
81,5,0,1,1,1,0,-41.0,1.0
82,8,0,1,1,1,0,-24.0,1.0
83,7,0,1,1,1,0,-25.0,1.0
84,6,0,1,1,1,0,-25.0,1.0
85,24,0,3,3,1,0,-22.0,1.0
86,5,0,1,1,1,0,-38.0,1.0
87,8,0,1,1,1,0,-20.0,1.0
88,9,0,1,1,1,0,-37.0,1.0
89,7,0,1,1,1,0,-27.0,1.0
90,10,0,1,1,1,0,-52.0,1.0
91,8,0,1,1,1,0,-52.0,1.0
92,12,0,1,1,1,0,-45.0,1.0
93,21,0,2,2,1,0,-48.0,1.0
94,5,0,1,1,1,0,-21.0,1.0
95,7,0,1,1,1,0,-43.0,1.0
96,5,0,1,1,1,0,-21.0,1.0
97,5,0,1,1,1,0,-35.0,1.0
98,5,0,1,1,1,0,-41.0,1.0
99,12,0,1,1,1,0,-25.0,1.0
100,21,0,2,2,1,0,-63.0,1.0
101,6,0,1,1,1,0,-29.0,0.999
102,7,0,1,1,1,0,-17.0,0.998
103,5,0,1,1,1,0,-38.0,0.997
104,9,0,1,1,1,0,-12.0,0.996
105,8,0,1,1,1,0,-18.0,0.995
106,5,0,1,1,1,0,-38.0,0.994
107,7,0,1,1,1,0,-17.0,0.993
108,6,0,1,1,1,0,-42.0,0.992
109,20,0,2,2,1,0,-52.0,0.991
110,5,0,1,1,1,0,-41.0,0.99
111,5,0,1,1,1,0,-38.0,0.9891
112,5,0,1,1,1,0,-38.0,0.9881
113,8,0,1,1,1,0,-25.0,0.9871
114,5,0,1,1,1,0,-41.0,0.9861
115,8,0,1,1,1,0,-22.0,0.9851
116,6,0,1,1,1,0,-28.0,0.9841
117,5,0,1,1,1,0,-41.0,0.9831
118,6,0,1,1,1,0,-25.0,0.9822
119,5,0,1,1,1,0,-38.0,0.9812
120,6,0,1,1,1,0,-27.0,0.9802
121,5,0,1,1,1,0,-16.0,0.9792
122,25,0,2,2,1,0,-52.0,0.9782
