round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
3001,16,1,2,6,1,0,0,0,-47.0,0.1
3002,8,0,1,1,1,0,0,0,-58.0,0.1
3003,60,2,5,13,1,0,0,0,-131.0,0.1
3004,21,0,3,8,1,0,0,0,-96.0,0.1
3005,78,1,8,23,1,0,0,0,-147.0,0.1
3006,230,2,22,22,1,1,0,0,-714.0,0.1
3007,13,0,2,3,1,0,0,0,-77.0,0.1
3008,22,0,3,7,1,0,0,0,-99.0,0.1
3009,43,0,6,17,1,0,0,0,-105.0,0.1
3010,13,0,2,5,1,0,0,0,-84.0,0.1
3011,20,0,3,8,1,0,0,0,-55.0,0.1
3012,15,0,2,3,1,0,0,0,-98.0,0.1
3013,41,1,6,14,1,0,0,0,-122.0,0.1
3014,13,0,2,5,1,0,0,0,-70.0,0.1
3015,13,0,2,5,1,0,0,0,-84.0,0.1
3016,95,0,13,17,1,0,0,0,-275.0,0.1
3017,20,0,3,7,1,0,0,0,-83.0,0.1
3018,5,0,1,3,1,0,0,0,-49.0,0.1
3019,5,0,1,3,1,0,0,0,-49.0,0.1
3020,14,2,2,2,1,0,0,0,-69.0,0.1
3021,13,0,2,5,1,0,0,0,-70.0,0.1
3022,5,0,1,2,1,0,0,0,-52.0,0.1
3023,21,0,3,8,1,0,0,0,-90.0,0.1
3024,42,0,5,8,1,0,0,0,-186.0,0.1
3025,41,0,6,18,1,0,0,0,-94.0,0.1
3026,50,0,7,16,1,0,0,0,-127.0,0.1
3027,47,0,6,12,1,0,0,0,-139.0,0.1
3028,236,0,24,20,1,1,0,0,-886.0,0.1
3029,20,0,3,6,1,0,0,0,-105.0,0.1
3030,14,1,2,3,1,0,0,0,-57.0,0.1
3031,400,1,39,11,0,0,0,0,-1433.0,0.1
3032,19,0,3,5,1,0,0,0,-60.0,0.1
3033,20,0,3,6,1,0,0,0,-89.0,0.1
3034,400,0,42,13,0,1,0,0,-1827.0,0.1
3035,5,0,1,1,1,0,0,0,-55.0,0.1
