round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,kills,killed_by_opponent,total_reward,epsilon
1,5,0,1,4,1,0,0,0,-66.0,1.0
2,23,0,2,3,1,0,0,0,-166.0,1.0
3,7,0,1,5,1,0,0,0,-47.0,1.0
4,7,0,1,0,1,0,0,0,-69.0,1.0
5,8,0,1,3,1,0,0,0,-69.0,1.0
6,11,0,1,3,1,0,0,0,-99.0,1.0
7,5,0,1,4,1,0,0,0,-66.0,1.0
8,18,0,2,3,1,0,0,0,-97.0,1.0
9,7,0,1,3,1,0,0,0,-75.0,1.0
10,9,0,1,4,1,0,0,0,-88.0,1.0
11,15,0,1,2,1,0,0,0,-116.0,1.0
12,14,0,2,4,1,0,0,0,-101.0,1.0
13,13,0,1,3,1,0,0,0,-129.0,1.0
14,6,0,1,2,1,0,0,0,-42.0,1.0
15,7,0,1,5,1,0,0,0,-53.0,1.0
16,5,0,1,2,1,0,0,0,-72.0,1.0
17,24,0,3,3,1,0,0,0,-174.0,1.0
18,6,0,1,3,1,0,0,0,-67.0,1.0
19,8,0,1,2,1,0,0,0,-60.0,1.0
20,7,0,1,2,1,0,0,0,-66.0,1.0
21,7,0,1,6,1,0,0,0,-50.0,1.0
22,6,0,1,3,1,0,0,0,-77.0,1.0
23,7,0,1,2,1,0,0,0,-60.0,1.0
24,5,0,1,3,1,0,0,0,-69.0,1.0
25,7,0,1,3,1,0,0,0,-55.0,1.0
26,5,0,1,4,1,0,0,0,-66.0,1.0
27,17,1,2,3,1,0,0,0,-120.0,1.0
28,7,0,1,2,1,0,0,0,-53.0,1.0
29,6,0,1,2,1,0,0,0,-44.0,1.0
30,17,0,2,5,1,0,0,0,-108.0,1.0
31,7,0,1,4,1,0,0,0,-72.0,1.0
32,7,0,1,2,1,0,0,0,-84.0,1.0
33,7,0,1,2,1,0,0,0,-84.0,1.0
34,23,0,2,6,1,0,0,0,-142.0,1.0
35,5,0,1,3,1,0,0,0,-77.0,1.0
36,5,0,1,4,1,0,0,0,-66.0,1.0
37,14,0,2,5,1,0,0,0,-86.0,1.0
38,8,0,1,3,1,0,0,0,-73.0,1.0
39,5,0,1,1,1,0,0,0,-63.0,1.0
40,13,0,1,2,1,0,0,0,-116.0,1.0
41,7,0,1,2,1,0,0,0,-50.0,1.0
42,6,0,1,2,1,0,0,0,-80.0,1.0
43,38,0,3,5,1,0,0,0,-255.0,1.0
44,5,0,1,3,1,0,0,0,-69.0,1.0
45,7,0,1,2,1,0,0,0,-84.0,1.0
46,5,0,1,4,1,0,0,0,-66.0,1.0
47,7,0,1,3,1,0,0,0,-85.0,1.0
48,7,0,1,4,1,0,0,0,-78.0,1.0
49,9,0,1,4,1,0,0,0,-94.0,1.0
50,32,0,4,5,1,0,0,0,-201.0,1.0
51,25,0,2,6,1,0,0,0,-153.0,1.0
52,6,0,1,1,1,0,0,0,-51.0,1.0
53,17,0,1,0,1,0,0,0,-138.0,1.0
54,6,0,1,3,1,0,0,0,-77.0,1.0
55,5,0,1,2,1,0,0,0,-52.0,1.0
56,22,0,2,6,1,0,0,0,-103.0,1.0
57,13,0,2,5,1,0,0,0,-89.0,1.0
58,6,0,1,3,1,0,0,0,-77.0,1.0
59,5,0,1,2,1,0,0,0,-72.0,1.0
60,8,0,1,4,1,0,0,0,-80.0,1.0
61,31,0,3,6,1,0,0,0,-158.0,1.0
62,6,0,1,3,1,0,0,0,-41.0,1.0
63,6,0,1,2,1,0,0,0,-80.0,1.0
64,13,0,2,3,1,0,0,0,-83.0,1.0
65,16,0,1,2,1,0,0,0,-113.0,1.0
66,8,0,1,2,1,0,0,0,-51.0,1.0
67,6,0,1,3,1,0,0,0,-36.0,1.0
68,11,0,1,3,1,0,0,0,-79.0,1.0
69,9,0,1,6,1,0,0,0,-50.0,1.0
70,5,0,1,3,1,0,0,0,-59.0,1.0
71,11,0,1,3,1,0,0,0,-89.0,1.0
72,8,0,1,5,1,0,0,0,-55.0,1.0
73,10,0,1,3,1,0,0,0,-99.0,1.0
74,10,0,1,2,1,0,0,0,-80.0,1.0
75,7,0,1,4,1,0,0,0,-82.0,1.0
76,6,0,1,3,1,0,0,0,-57.0,1.0
77,18,0,2,3,1,0,0,0,-122.0,1.0
78,5,0,1,4,1,0,0,0,-66.0,1.0
79,6,0,1,2,1,0,0,0,-64.0,1.0
80,5,0,1,2,1,0,0,0,-80.0,1.0
81,6,0,1,3,1,0,0,0,-63.0,1.0
