round,steps,coins_collected,bombs_dropped,crates_destroyed,killed_self,invalid_actions,total_reward,epsilon
1,5,0,1,1,1,0,-41.0,1.0
2,6,0,1,1,1,0,-45.0,1.0
3,6,0,1,1,1,0,-42.0,1.0
4,5,0,1,1,1,0,-38.0,1.0
5,5,0,1,1,1,0,-21.0,1.0
6,17,0,2,2,1,0,-28.0,1.0
7,5,0,1,1,1,0,-41.0,1.0
8,19,0,2,2,1,0,-41.0,1.0
9,15,0,2,2,1,0,-42.0,1.0
10,5,0,1,1,1,0,-38.0,1.0
11,8,0,1,1,1,0,-25.0,1.0
12,10,0,1,1,1,0,-55.0,1.0
13,8,0,1,1,1,0,-22.0,1.0
14,5,0,1,1,1,0,-38.0,1.0
15,7,0,1,1,1,0,-27.0,1.0
16,9,0,1,1,1,0,-54.0,1.0
17,7,0,1,1,1,0,-21.0,1.0
18,26,0,3,3,1,0,-49.0,1.0
19,8,0,1,1,1,0,-22.0,1.0
20,6,0,1,1,1,0,-13.0,1.0
21,5,0,1,1,1,0,-41.0,1.0
22,11,0,1,1,1,0,-37.0,1.0
23,8,0,1,1,1,0,-46.0,1.0
24,5,0,1,1,1,0,-41.0,1.0
25,8,0,1,1,1,0,-47.0,1.0
26,13,0,2,2,1,0,-33.0,1.0
27,36,0,3,3,1,0,-49.0,1.0
28,13,0,1,1,1,0,-65.0,1.0
29,5,0,1,1,1,0,-41.0,1.0
30,10,0,1,1,1,0,-28.0,1.0
31,5,0,1,1,1,0,-41.0,1.0
32,9,0,1,1,1,0,-50.0,1.0
33,13,0,1,1,1,0,-36.0,1.0
34,8,0,1,1,1,0,-18.0,1.0
35,6,0,1,1,1,0,-45.0,1.0
36,5,0,1,1,1,0,-24.0,1.0
37,8,0,1,1,1,0,-25.0,1.0
38,7,0,1,1,1,0,-37.0,1.0
39,13,0,1,1,1,0,-65.0,1.0
40,9,0,1,1,1,0,-51.0,1.0
41,5,0,1,1,1,0,-44.0,1.0
42,10,0,1,1,1,0,-37.0,1.0
43,5,0,1,1,1,0,-38.0,1.0
44,5,0,1,1,1,0,-21.0,1.0
45,5,0,1,1,1,0,-41.0,1.0
46,15,0,2,1,1,0,-59.0,1.0
47,8,0,1,1,1,0,-27.0,1.0
48,13,0,1,1,1,0,-59.0,1.0
49,9,0,1,1,1,0,-25.0,1.0
50,13,0,2,2,1,0,-30.0,1.0
51,12,0,1,1,1,0,-48.0,1.0
52,7,0,1,1,1,0,-46.0,1.0
53,9,0,1,1,1,0,-32.0,1.0
54,6,0,1,1,1,0,-25.0,1.0
55,7,0,1,1,1,0,-17.0,1.0
56,5,0,1,1,1,0,-41.0,1.0
57,8,0,1,1,1,0,-27.0,1.0
58,5,0,1,1,1,0,-38.0,1.0
59,6,0,1,0,1,0,-52.0,1.0
60,6,0,1,1,1,0,-14.0,1.0
61,5,0,1,1,1,0,-38.0,1.0
62,5,0,1,1,1,0,-24.0,1.0
63,5,0,1,1,1,0,-41.0,1.0
64,15,0,2,1,1,0,-36.0,1.0
65,7,0,1,1,1,0,-32.0,1.0
66,5,0,1,1,1,0,-38.0,1.0
67,5,0,1,1,1,0,-44.0,1.0
68,19,0,2,1,1,0,-56.0,1.0
69,5,0,1,1,1,0,-41.0,1.0
70,7,0,1,1,1,0,-27.0,1.0
71,7,0,1,1,1,0,-52.0,1.0
72,5,0,1,1,1,0,-47.0,1.0
73,9,0,1,1,1,0,-24.0,1.0
74,6,0,1,1,1,0,-42.0,1.0
75,6,0,1,1,1,0,-28.0,1.0
76,8,0,1,1,1,0,-47.0,1.0
77,7,0,1,1,1,0,-15.0,1.0
78,8,0,1,1,1,0,-26.0,1.0
79,14,0,1,1,1,0,-58.0,1.0
80,6,0,1,1,1,0,-25.0,1.0
81,6,0,1,1,1,0,-28.0,1.0
82,5,0,1,1,1,0,-38.0,1.0
83,5,0,1,1,1,0,-23.0,1.0
84,10,0,1,1,1,0,-29.0,1.0
85,14,0,1,1,1,0,-62.0,1.0
86,12,0,1,1,1,0,-45.0,1.0
87,5,0,1,1,1,0,-38.0,1.0
88,14,0,1,1,1,0,-31.0,1.0
89,6,0,1,1,1,0,-45.0,1.0
